opcode,z,n,BranchTaken,memtoreg,add,sub,neg,regwrite,memwrite,ALUSrcA,ALUSrcB,jump,preserve_flags,operation
0000,x,x,0,0,0,0,0,0,0,0,0,0,1,NOP
1111,x,x,0,0,0,0,0,1,0,1,1,0,1,SVPC
1110,x,x,0,1,0,0,0,1,0,0,1,0,1,LD
0011,x,x,0,1,0,0,0,0,1,0,1,0,1,ST
0100,x,x,0,0,0,0,0,1,0,0,0,0,0,ADD
0101,x,x,0,0,0,0,0,1,0,0,1,0,0,INC
0110,x,x,0,0,1,1,0,1,0,0,0,0,0,NEG
0111,x,x,0,0,1,0,1,1,0,0,0,0,0,SUB
1000,x,x,1,0,0,0,0,0,0,0,0,1,0,J
1001,0,x,0,0,0,0,0,0,0,0,0,0,0,BRZ
1001,1,x,1,0,0,0,0,0,0,0,0,0,0,BRZ
1010,x,0,0,0,0,0,0,0,0,0,0,0,0,BRN
1010,x,1,1,0,0,0,0,0,0,0,0,0,0,BRN
